id,category,difficulty,question,ground_truth,source_reference
Q01,Factual-Definition,Easy,By what short title may these Regulations be cited?,They may be cited as the Migration Regulations.,Reg 1.01
Q02,Factual-Numeric,Easy,On what date do these Regulations commence?,1 September 1994.,Reg 1.02
Q03,Factual-Structural,Easy,What is the Statutory Rules number of these Regulations?,1994 No. 268.,Document header
Q04,Factual-Definition,Easy,"What does the ""ACCESS test"" mean?",The Australian Assessment of Communicative English Skills test.,Reg 1.03 (definitions)
Q05,Factual-Definition,Easy,"What does the ""IELTS test"" mean?",The International English Language Testing System test.,Reg 1.03 (definitions)
Q06,Factual-Definition,Medium,"Under regulation 1.03, what is an ""Australian permanent resident""?","A non-citizen who, being usually resident in Australia, is the holder of a permanent visa.",Reg 1.03 (definitions)
Q07,Factual-Definition,Medium,"What does the phrase ""in Australia"" mean in these Regulations?",In the migration zone.,Reg 1.03 (definitions)
Q08,Factual-Definition,Easy,"What does ""AUD"" mean?",Australian dollars.,Reg 1.03 (definitions)
Q09,Factual-Definition,Easy,"Does ""marital relationship"" include a de facto relationship?","Yes. ""Marital relationship"" includes a de facto relationship.",Reg 1.03 (definitions)
Q10,Factual-Definition,Medium,"For the terms ""aged parent"" and ""aged dependent relative"", which Act is used to decide whether the person is old enough?",The Social Security Act 1991 (whether the person is old enough to be granted an age pension).,Reg 1.03 (definitions)
Q11,Factual-Definition,Medium,"Which section of the Migration Act 1958 gives the meaning of ""bogus document""?",Section 97 of the Act.,Reg 1.03 (definitions)
Q12,Factual-Definition,Medium,"Which Schedule sets out the ""business skills points test""?",Schedule 7.,Reg 1.03 (definitions)
Q13,Factual-Definition,Medium,"Under which section of the Act is a ""Commissioner"" appointed?",Section 203 of the Act.,Reg 1.03 (definitions)
Q14,Factual-Definition,Medium,"Where are ""conditions"" set out for the purposes of the Regulations?",In the clauses of Schedule 8 (a condition means a condition set out in a clause of Schedule 8).,Reg 1.03 (definitions)
Q15,Factual-Definition,Medium,"Which government department does the defined term ""Immigration"" refer to?",The Department of Immigration and Ethnic Affairs.,Reg 1.03 (definitions)
Q16,Factual-Definition,Medium,"What does ""dependent"", in relation to a person, mean?","Wholly or substantially dependent on another person for financial, psychological or physical support.",Reg 1.03 (definitions)
Q17,Factual-Definition,Medium,"What does ""custody"" of a child mean under regulation 1.03?","The right to have the daily care and control of the child, and the right and responsibility to make decisions concerning the daily care and control of the child.",Reg 1.03 (definitions)
Q18,List-Enumeration,Medium,"Who is included as a ""close relative"" of a person?","The spouse; a child, adopted child, parent, brother or sister; and a step-child, adopted step-child, step-parent, step-brother or step-sister of the person.",Reg 1.03 (definitions)
Q19,List-Enumeration,Hard,"List the countries defined as a ""Commonwealth country"" in regulation 1.03.","Antigua, Bahamas, Barbados, Belize, Canada, Grenada, Jamaica, Mauritius, New Zealand, Papua New Guinea, Saint Lucia, Saint Vincent and the Grenadines, Solomon Islands, St Christopher and Nevis, Tuvalu, and the United Kingdom of Great Britain and Northern Ireland.",Reg 1.03 (definitions)
Q20,List-Enumeration,Hard,"Under the definition of ""dependent child"", in what three situations is a child a dependent child?",(a) has not turned 18 and is wholly or substantially in the person's daily care and control; (b) has turned 18 and is dependent on the person; or (c) is wholly or substantially incapacitated for work because of a disability under the Disability Discrimination Act 1992.,Reg 1.03 (definitions)
Q21,List-Enumeration,Hard,"What three requirements must a New Zealand citizen meet to be an ""eligible New Zealand citizen""?","Hold a special category visa; be usually resident in Australia; and, at the time of last entry, would have satisfied public interest criteria 4001 to 4004 and 4007 to 4009.",Reg 1.03 (definitions)
Q22,Conditional-EdgeCase,Medium,"Is a person on parole or on bail awaiting trial considered to be in ""criminal detention""?","No. Criminal detention means serving a term of imprisonment after conviction (including periodic detention) or being in prison on remand. It excludes a person on a community service order, on parole, or on bail awaiting trial.",Reg 1.09
Q23,Conditional-EdgeCase,Medium,"Under regulation 1.16, can the Minister or Secretary delegate the power of delegation itself?","No. The Minister and the Secretary may each delegate any of their powers under the Regulations to an officer, other than the power of delegation.",Reg 1.16
Q24,Conditional-EdgeCase,Hard,"In applying the balance of family test, which children are disregarded?","Children removed from the parent's exclusive custody by court order, adoption or operation of law (other than by marriage); children resident in a country where they suffer persecution or human-rights abuse and reunion elsewhere is not possible; and children in a UNHCR or Hong Kong government refugee camp who are registered by the Commissioner as refugees.",Reg 1.05(3)
Q25,Conditional-EdgeCase,Medium,Which visa subclass is excluded from the sponsorship-fee regulation (5.38)?,Subclass 426 (Domestic Worker (Diplomatic or Consular)).,Reg 5.38(1)
Q26,Conditional-EdgeCase,Hard,"Under regulation 1.08, in what circumstances does a non-citizen have a ""compelling need to work""?",If and only if the person is in financial hardship; or is nominated by an employer for an approved appointment and appears to meet clause 805.213 of Schedule 2; or is an applicant for a Business (Temporary) (Class TB) visa who has been sponsored by an employer and appears to meet the criteria for that visa.,Reg 1.08
Q27,Factual-Numeric,Easy,"What is the fee payable for an employer nomination, and when must it be paid?","$260, payable at the time the nomination is lodged.",Reg 5.37
Q28,Factual-Numeric,Hard,"Under regulation 5.38, what sponsorship fee applies for 10 or fewer applications versus more than 10 applications lodged together?",$195 for each sponsorship if not more than 10 applications are lodged together; $1950 if more than 10 applications are lodged together.,Reg 5.38(2)
Q29,Factual-Numeric,Hard,"What minimum ownership-interest percentage is needed for a business to be a ""main business"" in relation to an applicant?","At least 10% of the total value of the business (the value of the applicant's ownership interest, or the combined interests of the applicant and spouse).",Reg 1.11(1)(c)
Q30,Factual-Numeric,Medium,"What is the maximum number of businesses an applicant may nominate as ""main businesses""?",No more than 2.,Reg 1.11(2)
Q31,Factual-Numeric,Hard,"For the ""remaining relative"" test, how many overseas near relatives disqualify an applicant?",More than 3 overseas near relatives (counting the applicant and spouse together).,Reg 1.15(2)(b)
Q32,Factual-Numeric,Hard,"To be a ""highly skilled person"" under regulation 5.19, how many years of training and work experience are generally required?","Formal training or equivalent experience completed over at least 3 years, plus (unless the appointment is exceptional) at least 3 years' employment in that kind of work after the training and before the application.",Reg 5.19(3)
Q33,MultiHop-Synthesis,Hard,"How can a parent satisfy the ""balance of family test""?","Either every child is lawfully and permanently resident in Australia (or a special category visa holder usually resident in Australia); or the number of children who are permanent residents / special category visa holders usually resident in Australia is greater than or equal to the total number of children resident overseas, or greater than the greatest number resident in any single overseas country.",Reg 1.05(2)
Q34,MultiHop-Synthesis,Medium,"When does an application meet ""labour market requirements""?","When the Minister is satisfied that the application is in accordance with a labour agreement; or that, for the relevant employment, no Australian citizen or permanent resident with suitable qualifications and experience is readily available and (if appropriate) relevant employer and employee organisations have been consulted.",Reg 1.10
Q35,MultiHop-Synthesis,Hard,"For a Student (Temporary) (Class TU) visa, who is a ""member of the family unit""?",A spouse of the applicant; a dependent child of the applicant or spouse who is unmarried and has not turned 18; or a person who has agreed to marry the applicant where the marriage is intended to take place no later than 3 months after that person's entry to Australia.,Reg 1.12(2)
Q36,MultiHop-Synthesis,Hard,"What are the requirements for an applicant to be an ""orphan relative""?","The applicant has not turned 18, is unmarried, and is a relative of the other person (an Australian citizen, permanent resident or eligible New Zealand citizen); cannot be cared for by either parent because each is dead, permanently incapacitated or of unknown whereabouts; and it is in the applicant's best interests to settle with that person in Australia.",Reg 1.14
Q37,MultiHop-Synthesis,Hard,"Who is excluded from being a ""nominator"" under regulation 1.13?","A person who proposes another person for a Subclass 202 (Global Humanitarian) visa, and a person or body who gives an undertaking of a kind referred to in Parts 208, 209, 210, 211, 212, 213 or 214 of Schedule 2.",Reg 1.13
Q38,MultiHop-Synthesis,Hard,"What makes a proposed appointment an ""approved appointment"" for employer nomination under regulation 5.19?","It is the subject of an employer nomination for a paid, highly-skilled, full-time position in an Australian business operated by the employer; the position is permanent (or, for an academic or scientific-research post, a fixed term of at least 3 years without an express exclusion of renewal); the employer makes adequate training provision; the Minister is satisfied no suitable Australian citizen or permanent resident can be found (or that the employer need not search); and wages and conditions meet relevant Australian standards.",Reg 5.19(2)
